,country,year,life_expectancy
46889,Guam,1860,27.5
46890,Guatemala,1860,25.81
46891,Guernsey,1860,
46892,Guinea,1860,30.12
46893,Guinea-Bissau,1860,32.0
46894,Guyana,1860,31.12
46895,Haiti,1860,29.0
46896,Holy See,1860,
46897,Honduras,1860,33.9
46898,"Hong Kong, China",1860,34.9
46899,Hungary,1860,36.0
46900,Iceland,1860,19.76
46901,India,1860,23.0
46902,Indonesia,1860,30.0
46903,Iran,1860,25.6
46904,Iraq,1860,31.2
46905,Ireland,1860,38.56
46906,Isle of Man,1860,
46907,Israel,1860,32.0
46908,Italy,1860,29.69
46909,Jamaica,1860,34.2
46910,Japan,1860,36.42
46911,Jersey,1860,
46912,Jordan,1860,31.7
46913,Kazakhstan,1860,26.2
46914,Kenya,1860,25.5
46915,Kiribati,1860,24.9
46916,North Korea,1860,26.0
46917,South Korea,1860,25.8
46918,"United Korea (former)
",1860,
46919,Kosovo,1860,
46920,Kuwait,1860,26.0
46921,Kyrgyz Republic,1860,23.94
46922,Lao,1860,31.9
46923,Latvia,1860,33.0
46924,Lebanon,1860,29.7
46925,Lesotho,1860,32.8
46926,Liberia,1860,31.1
46927,Libya,1860,33.1
46928,Liechtenstein,1860,
46929,Lithuania,1860,28.9
46930,Luxembourg,1860,36.9
46931,"Macao, China",1860,34.7
46932,"Macedonia, FYR",1860,36.1
46933,Madagascar,1860,30.5
46934,Malawi,1860,30.3
46935,Malaysia,1860,30.6
46936,Maldives,1860,32.65
46937,Mali,1860,26.41
46938,Malta,1860,28.7
46939,Marshall Islands,1860,
46940,Martinique,1860,30.15
46941,Mauritania,1860,32.0
46942,Mauritius,1860,30.96
46943,Mayotte,1860,32.5
46944,Mexico,1860,26.9
46945,"Micronesia, Fed. Sts.",1860,26.7
46946,Moldova,1860,33.15
46947,Monaco,1860,
46948,Mongolia,1860,31.8
46949,Montenegro,1860,35.4
46950,Montserrat,1860,
46951,Morocco,1860,33.1
46952,Mozambique,1860,30.28
46953,Myanmar,1860,30.8
46954,Namibia,1860,32.4
46955,Nauru,1860,
46956,Nepal,1860,32.8
46957,Netherlands,1860,36.91
46958,Netherlands Antilles,1860,34.41
46959,New Caledonia,1860,26.0
46960,New Zealand,1860,34.05
46961,Ngorno-Karabakh,1860,
46962,Nicaragua,1860,25.4
46963,Niger,1860,30.8
46964,Nigeria,1860,30.4
46965,Niue,1860,
46966,Norfolk Island,1860,
46967,Northern Cyprus,1860,
46968,Northern Mariana Islands,1860,
46969,Norway,1860,50.0
46970,Oman,1860,32.3
46971,Pakistan,1860,25.8
46972,Palau,1860,
46973,Panama,1860,32.9
46974,Papua New Guinea,1860,31.5
46975,Paraguay,1860,35.5
46976,Peru,1860,35.7
46977,Philippines,1860,30.9
46978,Pitcairn,1860,
46979,Poland,1860,35.9
46980,Portugal,1860,35.6
46981,Puerto Rico,1860,30.43
46982,Qatar,1860,30.8
46983,Reunion,1860,33.0
46984,Romania,1860,35.7
46985,Russia,1860,29.57
46986,Rwanda,1860,31.8
46987,St. Barthélemy,1860,
46988,St. Helena,1860,
46989,St. Kitts and Nevis,1860,
46990,St. Lucia,1860,28.01
46991,St. Martin,1860,
46992,St. Vincent and the Grenadines,1860,25.99
46993,St.-Pierre-et-Miquelon,1860,
46994,Samoa,1860,25.4
46995,San Marino,1860,
46996,Sao Tome and Principe,1860,31.0
46997,Saudi Arabia,1860,32.1
46998,Senegal,1860,25.2
46999,Serbia,1860,35.5
47000,Serbia and Montenegro,1860,
47001,Serbia excluding Kosovo,1860,
47002,Seychelles,1860,37.0
47003,Sierra Leone,1860,25.1
47004,Singapore,1860,34.0
47005,Slovak Republic,1860,36.4
47006,Slovenia,1860,36.6
47007,Solomon Islands,1860,25.1
47008,Somalia,1860,29.4
47009,Somaliland,1860,
47010,South Africa,1860,33.5
47011,South Ossetia,1860,
47012,Spain,1860,29.5
47013,Sri Lanka,1860,32.6
47014,Sudan,1860,31.4
47015,Suriname,1860,32.9
47016,Svalbard,1860,
47017,Swaziland,1860,32.3
47018,Sweden,1860,48.47
47019,Switzerland,1860,38.0
47020,Syria,1860,31.1
47021,Taiwan,1860,28.3
47022,Tajikistan,1860,24.24
47023,Tanzania,1860,32.2
47024,Thailand,1860,30.4
47025,Timor-Leste,1860,28.95
47026,Togo,1860,31.3
47027,Tokelau,1860,
47028,Tonga,1860,28.2
47029,Transnistria,1860,
47030,Trinidad and Tobago,1860,38.8
47031,Tunisia,1860,28.8
47032,Turkey,1860,35.0
47033,Turkmenistan,1860,24.0
47034,Turks and Caicos Islands,1860,
47035,Tuvalu,1860,
47036,Uganda,1860,25.3
47037,Ukraine,1860,36.6
47038,United Arab Emirates,1860,30.7
47039,United Kingdom,1860,43.01
47040,United States,1860,39.41
47041,Uruguay,1860,32.9
47042,USSR,1860,
47043,Uzbekistan,1860,26.93
47044,Wallis et Futuna,1860,
47045,Vanuatu,1860,24.3
47046,Venezuela,1860,32.2
47047,West Bank and Gaza,1860,32.1
47048,West Germany,1860,
47049,Western Sahara,1860,34.75
47050,Vietnam,1860,32.0
47051,Virgin Islands (U.S.),1860,33.4
47052,North Yemen (former),1860,
47053,South Yemen (former),1860,
47054,Yemen,1860,23.39
47055,Yugoslavia,1860,
47056,Zambia,1860,32.6
47057,Zimbabwe,1860,33.7
47058,Åland,1860,
47059,South Sudan,1860,26.67
47060,Abkhazia,1860,
47061,Afghanistan,1860,
47062,Akrotiri and Dhekelia,1860,
47063,Albania,1860,
47064,Algeria,1860,
47065,American Samoa,1860,
47066,Andorra,1860,
47067,Angola,1860,
47068,Anguilla,1860,
47069,Antigua and Barbuda,1860,
47070,Argentina,1860,
47071,Armenia,1860,
47072,Aruba,1860,
47073,Australia,1860,
47074,Austria,1860,
47075,Azerbaijan,1860,
47076,Bahamas,1860,
47077,Bahrain,1860,
47078,Bangladesh,1860,
47079,Barbados,1860,
47080,Belarus,1860,
47081,Belgium,1860,
47082,Belize,1860,
47083,Benin,1860,
47084,Bermuda,1860,
47085,Bhutan,1860,
47086,Bolivia,1860,
47087,Bosnia and Herzegovina,1860,
47088,Botswana,1860,
47089,Brazil,1860,
47090,British Virgin Islands,1860,
47091,Brunei,1860,
47092,Bulgaria,1860,
47093,Burkina Faso,1860,
47094,Burundi,1860,
47095,Cambodia,1860,
47096,Cameroon,1860,
47097,Canada,1860,
47098,Cape Verde,1860,
47099,Cayman Islands,1860,
47100,Central African Republic,1860,
47101,Chad,1860,
47102,Channel Islands,1860,
47103,Chile,1860,
47104,China,1860,
47105,Christmas Island,1860,
47106,Cocos Island,1860,
47107,Colombia,1860,
47108,Comoros,1860,
47109,"Congo, Dem. Rep.",1860,
47110,"Congo, Rep.",1860,
47111,Cook Is,1860,
47112,Costa Rica,1860,
47113,Cote d'Ivoire,1860,
47114,Croatia,1860,
47115,Cuba,1860,
47116,Cyprus,1860,
47117,Czech Republic,1860,
47118,Czechoslovakia,1860,
47119,Denmark,1860,
47120,Djibouti,1860,
47121,Dominica,1860,
47122,Dominican Republic,1860,
47123,East Germany,1860,
47124,Ecuador,1860,
47125,Egypt,1860,
47126,El Salvador,1860,
47127,Equatorial Guinea,1860,
47128,Eritrea,1860,
47129,Eritrea and Ethiopia,1860,
47130,Estonia,1860,
47131,Ethiopia,1860,
47132,Faeroe Islands,1860,
47133,Falkland Is (Malvinas),1860,
47134,Fiji,1860,
47135,Finland,1860,
47136,France,1860,
47137,French Guiana,1860,
47138,French Polynesia,1860,
47139,Gabon,1860,
47140,Gambia,1860,
47141,Georgia,1860,
47142,Germany,1860,
47143,Ghana,1860,
47144,Gibraltar,1860,
47145,Greece,1860,
47146,Greenland,1860,
47147,Grenada,1860,
47148,Guadeloupe,1860,
47149,Guam,1860,
47150,Guatemala,1860,
47151,Guernsey,1860,
47152,Guinea,1860,
47153,Guinea-Bissau,1860,
47154,Guyana,1860,
47155,Haiti,1860,
47156,Holy See,1860,
47157,Honduras,1860,
47158,"Hong Kong, China",1860,
47159,Hungary,1860,
47160,Iceland,1860,
47161,India,1860,
47162,Indonesia,1860,
47163,Iran,1860,
47164,Iraq,1860,
47165,Ireland,1860,
47166,Isle of Man,1860,
47167,Israel,1860,
47168,Italy,1860,
47169,Jamaica,1860,
47170,Japan,1860,
47171,Jersey,1860,
47172,Jordan,1860,
47173,Kazakhstan,1860,
47174,Kenya,1860,
47175,Kiribati,1860,
47176,North Korea,1860,
47177,South Korea,1860,
47178,"United Korea (former)
",1860,
47179,Kosovo,1860,
47180,Kuwait,1860,
47181,Kyrgyz Republic,1860,
47182,Lao,1860,
47183,Latvia,1860,
47184,Lebanon,1860,
47185,Lesotho,1860,
47186,Liberia,1860,
47187,Libya,1860,
47188,Liechtenstein,1860,
47189,Lithuania,1860,
47190,Luxembourg,1860,
47191,"Macao, China",1860,
47192,"Macedonia, FYR",1860,
47193,Madagascar,1860,
47194,Malawi,1860,
47195,Malaysia,1860,
47196,Maldives,1860,
47197,Mali,1860,
47198,Malta,1860,
47199,Marshall Islands,1860,
47200,Martinique,1860,
47201,Mauritania,1860,
47202,Mauritius,1860,
47203,Mayotte,1860,
47204,Mexico,1860,
47205,"Micronesia, Fed. Sts.",1860,
47206,Moldova,1860,
47207,Monaco,1860,
47208,Mongolia,1860,
47209,Montenegro,1860,
47210,Montserrat,1860,
47211,Morocco,1860,
47212,Mozambique,1860,
47213,Myanmar,1860,
47214,Namibia,1860,
47215,Nauru,1860,
47216,Nepal,1860,
47217,Netherlands,1860,
47218,Netherlands Antilles,1860,
47219,New Caledonia,1860,
47220,New Zealand,1860,
47221,Ngorno-Karabakh,1860,
47222,Nicaragua,1860,
47223,Niger,1860,
47224,Nigeria,1860,
47225,Niue,1860,
47226,Norfolk Island,1860,
47227,Northern Cyprus,1860,
47228,Northern Mariana Islands,1860,
47229,Norway,1860,
47230,Oman,1860,
47231,Pakistan,1860,
47232,Palau,1860,
47233,Panama,1860,
47234,Papua New Guinea,1860,
47235,Paraguay,1860,
47236,Peru,1860,
47237,Philippines,1860,
47238,Pitcairn,1860,
47239,Poland,1860,
47240,Portugal,1860,
47241,Puerto Rico,1860,
47242,Qatar,1860,
47243,Reunion,1860,
47244,Romania,1860,
47245,Russia,1860,
47246,Rwanda,1860,
47247,St. Barthélemy,1860,
47248,St. Helena,1860,
47249,St. Kitts and Nevis,1860,
47250,St. Lucia,1860,
47251,St. Martin,1860,
47252,St. Vincent and the Grenadines,1860,
47253,St.-Pierre-et-Miquelon,1860,
47254,Samoa,1860,
47255,San Marino,1860,
47256,Sao Tome and Principe,1860,
47257,Saudi Arabia,1860,
47258,Senegal,1860,
47259,Serbia,1860,
47260,Serbia and Montenegro,1860,
47261,Serbia excluding Kosovo,1860,
47262,Seychelles,1860,
47263,Sierra Leone,1860,
47264,Singapore,1860,
47265,Slovak Republic,1860,
47266,Slovenia,1860,
47267,Solomon Islands,1860,
47268,Somalia,1860,
47269,Somaliland,1860,
47270,South Africa,1860,
47271,South Ossetia,1860,
47272,Spain,1860,
47273,Sri Lanka,1860,
47274,Sudan,1860,
47275,Suriname,1860,
47276,Svalbard,1860,
47277,Swaziland,1860,
47278,Sweden,1860,
47279,Switzerland,1860,
47280,Syria,1860,
47281,Taiwan,1860,
47282,Tajikistan,1860,
47283,Tanzania,1860,
47284,Thailand,1860,
47285,Timor-Leste,1860,
47286,Togo,1860,
47287,Tokelau,1860,
47288,Tonga,1860,
47289,Transnistria,1860,
47290,Trinidad and Tobago,1860,
47291,Tunisia,1860,
47292,Turkey,1860,
47293,Turkmenistan,1860,
47294,Turks and Caicos Islands,1860,
47295,Tuvalu,1860,
47296,Uganda,1860,
47297,Ukraine,1860,
47298,United Arab Emirates,1860,
47299,United Kingdom,1860,
47300,United States,1860,
47301,Uruguay,1860,
47302,USSR,1860,
47303,Uzbekistan,1860,
47304,Wallis et Futuna,1860,
47305,Vanuatu,1860,
47306,Venezuela,1860,
47307,West Bank and Gaza,1860,
47308,West Germany,1860,
47309,Western Sahara,1860,
47310,Vietnam,1860,
47311,Virgin Islands (U.S.),1860,
47312,North Yemen (former),1860,
47313,South Yemen (former),1860,
47314,Yemen,1860,
47315,Yugoslavia,1860,
47316,Zambia,1860,
47317,Zimbabwe,1860,
47318,Åland,1860,
47319,South Sudan,1860,
47320,Abkhazia,1860,
47321,Afghanistan,1860,
47322,Akrotiri and Dhekelia,1860,
47323,Albania,1860,
47324,Algeria,1860,
47325,American Samoa,1860,
47326,Andorra,1860,
47327,Angola,1860,
47328,Anguilla,1860,
47329,Antigua and Barbuda,1860,
47330,Argentina,1860,
47331,Armenia,1860,
47332,Aruba,1860,
47333,Australia,1860,
47334,Austria,1860,
47335,Azerbaijan,1860,
47336,Bahamas,1860,
47337,Bahrain,1860,
47338,Bangladesh,1860,
47339,Barbados,1860,
47340,Belarus,1860,
47341,Belgium,1860,
47342,Belize,1860,
47343,Benin,1860,
47344,Bermuda,1860,
47345,Bhutan,1860,
47346,Bolivia,1860,
47347,Bosnia and Herzegovina,1860,
47348,Botswana,1860,
47349,Brazil,1860,
47350,British Virgin Islands,1860,
47351,Brunei,1860,
47352,Bulgaria,1860,
47353,Burkina Faso,1860,
47354,Burundi,1860,
47355,Cambodia,1860,
47356,Cameroon,1860,
47357,Canada,1860,
47358,Cape Verde,1860,
47359,Cayman Islands,1860,
47360,Central African Republic,1860,
47361,Chad,1860,
47362,Channel Islands,1860,
47363,Chile,1860,
47364,China,1860,
47365,Christmas Island,1860,
47366,Cocos Island,1860,
47367,Colombia,1860,
47368,Comoros,1860,
47369,"Congo, Dem. Rep.",1860,
47370,"Congo, Rep.",1860,
47371,Cook Is,1860,
47372,Costa Rica,1860,
47373,Cote d'Ivoire,1860,
47374,Croatia,1860,
47375,Cuba,1860,
47376,Cyprus,1860,
47377,Czech Republic,1860,
47378,Czechoslovakia,1860,
47379,Denmark,1860,
47380,Djibouti,1860,
47381,Dominica,1860,
47382,Dominican Republic,1860,
47383,East Germany,1860,
47384,Ecuador,1860,
47385,Egypt,1860,
47386,El Salvador,1860,
47387,Equatorial Guinea,1860,
47388,Eritrea,1860,
47389,Eritrea and Ethiopia,1860,
47390,Estonia,1860,
47391,Ethiopia,1860,
47392,Faeroe Islands,1860,
47393,Falkland Is (Malvinas),1860,
47394,Fiji,1860,
47395,Finland,1860,
47396,France,1860,
47397,French Guiana,1860,
47398,French Polynesia,1860,
47399,Gabon,1860,
47400,Gambia,1860,
47401,Georgia,1860,
47402,Germany,1860,
47403,Ghana,1860,
47404,Gibraltar,1860,
47405,Greece,1860,
47406,Greenland,1860,
47407,Grenada,1860,
47408,Guadeloupe,1860,
47409,Guam,1860,
47410,Guatemala,1860,
47411,Guernsey,1860,
47412,Guinea,1860,
47413,Guinea-Bissau,1860,
47414,Guyana,1860,
47415,Haiti,1860,
47416,Holy See,1860,
47417,Honduras,1860,
47418,"Hong Kong, China",1860,
47419,Hungary,1860,
47420,Iceland,1860,
47421,India,1860,
47422,Indonesia,1860,
47423,Iran,1860,
47424,Iraq,1860,
47425,Ireland,1860,
47426,Isle of Man,1860,
47427,Israel,1860,
47428,Italy,1860,
47429,Jamaica,1860,
47430,Japan,1860,
47431,Jersey,1860,
47432,Jordan,1860,
47433,Kazakhstan,1860,
47434,Kenya,1860,
47435,Kiribati,1860,
47436,North Korea,1860,
47437,South Korea,1860,
47438,"United Korea (former)
",1860,
47439,Kosovo,1860,
47440,Kuwait,1860,
47441,Kyrgyz Republic,1860,
47442,Lao,1860,
47443,Latvia,1860,
47444,Lebanon,1860,
47445,Lesotho,1860,
47446,Liberia,1860,
47447,Libya,1860,
47448,Liechtenstein,1860,
47449,Lithuania,1860,
47450,Luxembourg,1860,
47451,"Macao, China",1860,
47452,"Macedonia, FYR",1860,
47453,Madagascar,1860,
47454,Malawi,1860,
47455,Malaysia,1860,
47456,Maldives,1860,
47457,Mali,1860,
47458,Malta,1860,
47459,Marshall Islands,1860,
47460,Martinique,1860,
47461,Mauritania,1860,
47462,Mauritius,1860,
47463,Mayotte,1860,
47464,Mexico,1860,
47465,"Micronesia, Fed. Sts.",1860,
47466,Moldova,1860,
47467,Monaco,1860,
47468,Mongolia,1860,
47469,Montenegro,1860,
47470,Montserrat,1860,
47471,Morocco,1860,
47472,Mozambique,1860,
47473,Myanmar,1860,
47474,Namibia,1860,
47475,Nauru,1860,
47476,Nepal,1860,
47477,Netherlands,1860,
47478,Netherlands Antilles,1860,
47479,New Caledonia,1860,
47480,New Zealand,1860,
47481,Ngorno-Karabakh,1860,
47482,Nicaragua,1860,
47483,Niger,1860,
47484,Nigeria,1860,
47485,Niue,1860,
47486,Norfolk Island,1860,
47487,Northern Cyprus,1860,
47488,Northern Mariana Islands,1860,
47489,Norway,1860,
47490,Oman,1860,
47491,Pakistan,1860,
47492,Palau,1860,
47493,Panama,1860,
47494,Papua New Guinea,1860,
47495,Paraguay,1860,
47496,Peru,1860,
47497,Philippines,1860,
47498,Pitcairn,1860,
47499,Poland,1860,
47500,Portugal,1860,
47501,Puerto Rico,1860,
47502,Qatar,1860,
47503,Reunion,1860,
47504,Romania,1860,
47505,Russia,1860,
47506,Rwanda,1860,
47507,St. Barthélemy,1860,
47508,St. Helena,1860,
47509,St. Kitts and Nevis,1860,
47510,St. Lucia,1860,
47511,St. Martin,1860,
47512,St. Vincent and the Grenadines,1860,
47513,St.-Pierre-et-Miquelon,1860,
47514,Samoa,1860,
47515,San Marino,1860,
47516,Sao Tome and Principe,1860,
47517,Saudi Arabia,1860,
47518,Senegal,1860,
47519,Serbia,1860,
47520,Serbia and Montenegro,1860,
47521,Serbia excluding Kosovo,1860,
47522,Seychelles,1860,
47523,Sierra Leone,1860,
47524,Singapore,1860,
47525,Slovak Republic,1860,
47526,Slovenia,1860,
47527,Solomon Islands,1860,
47528,Somalia,1860,
47529,Somaliland,1860,
47530,South Africa,1860,
47531,South Ossetia,1860,
47532,Spain,1860,
47533,Sri Lanka,1860,
47534,Sudan,1860,
47535,Suriname,1860,
47536,Svalbard,1860,
47537,Swaziland,1860,
47538,Sweden,1860,
47539,Switzerland,1860,
47540,Syria,1860,
47541,Taiwan,1860,
47542,Tajikistan,1860,
47543,Tanzania,1860,
47544,Thailand,1860,
47545,Timor-Leste,1860,
47546,Togo,1860,
47547,Tokelau,1860,
47548,Tonga,1860,
47549,Transnistria,1860,
47550,Trinidad and Tobago,1860,
47551,Tunisia,1860,
47552,Turkey,1860,
47553,Turkmenistan,1860,
47554,Turks and Caicos Islands,1860,
47555,Tuvalu,1860,
47556,Uganda,1860,
47557,Ukraine,1860,
47558,United Arab Emirates,1860,
47559,United Kingdom,1860,
47560,United States,1860,
47561,Uruguay,1860,
47562,USSR,1860,
47563,Uzbekistan,1860,
47564,Wallis et Futuna,1860,
47565,Vanuatu,1860,
47566,Venezuela,1860,
47567,West Bank and Gaza,1860,
47568,West Germany,1860,
47569,Western Sahara,1860,
47570,Vietnam,1860,
47571,Virgin Islands (U.S.),1860,
47572,North Yemen (former),1860,
47573,South Yemen (former),1860,
47574,Yemen,1860,
47575,Yugoslavia,1860,
47576,Zambia,1860,
47577,Zimbabwe,1860,
47578,Åland,1860,
47579,South Sudan,1860,
47580,Abkhazia,1861,
47581,Afghanistan,1861,27.59
47582,Akrotiri and Dhekelia,1861,
47583,Albania,1861,35.4
47584,Algeria,1861,28.82
47585,American Samoa,1861,
47586,Andorra,1861,
47587,Angola,1861,26.98
47588,Anguilla,1861,
47589,Antigua and Barbuda,1861,33.54
47590,Argentina,1861,33.2
47591,Armenia,1861,34.0
47592,Aruba,1861,34.42
47593,Australia,1861,34.05
47594,Austria,1861,34.4
47595,Azerbaijan,1861,29.17
47596,Bahamas,1861,35.18
47597,Bahrain,1861,30.3
47598,Bangladesh,1861,25.5
47599,Barbados,1861,32.12
47600,Belarus,1861,36.2
47601,Belgium,1861,41.27
47602,Belize,1861,26.5
47603,Benin,1861,31.0
47604,Bermuda,1861,
47605,Bhutan,1861,28.8
47606,Bolivia,1861,33.0
47607,Bosnia and Herzegovina,1861,35.1
47608,Botswana,1861,33.6
47609,Brazil,1861,31.99
47610,British Virgin Islands,1861,
47611,Brunei,1861,29.2
47612,Bulgaria,1861,38.48
47613,Burkina Faso,1861,29.2
47614,Burundi,1861,31.5
47615,Cambodia,1861,35.0
47616,Cameroon,1861,28.75
47617,Canada,1861,41.6
47618,Cape Verde,1861,33.8
47619,Cayman Islands,1861,
47620,Central African Republic,1861,30.0
47621,Chad,1861,30.9
47622,Channel Islands,1861,
47623,Chile,1861,32.0
47624,China,1861,29.56
47625,Christmas Island,1861,
47626,Cocos Island,1861,
47627,Colombia,1861,32.0
47628,Comoros,1861,32.1
47629,"Congo, Dem. Rep.",1861,31.6
47630,"Congo, Rep.",1861,32.7
47631,Cook Is,1861,
47632,Costa Rica,1861,30.21
47633,Cote d'Ivoire,1861,31.16
47634,Croatia,1861,36.1
47635,Cuba,1861,35.88
47636,Cyprus,1861,38.51
47637,Czech Republic,1861,34.95
47638,Czechoslovakia,1861,
47639,Denmark,1861,47.65
47640,Djibouti,1861,29.9
47641,Dominica,1861,
47642,Dominican Republic,1861,29.9
47643,East Germany,1861,
47644,Ecuador,1861,32.9
47645,Egypt,1861,33.0
47646,El Salvador,1861,28.7
47647,Equatorial Guinea,1861,29.8
47648,Eritrea,1861,30.2
47649,Eritrea and Ethiopia,1861,
47650,Estonia,1861,37.39
47651,Ethiopia,1861,29.7
47652,Faeroe Islands,1861,
47653,Falkland Is (Malvinas),1861,
47654,Fiji,1861,26.1
47655,Finland,1861,38.02
47656,France,1861,40.45
47657,French Guiana,1861,30.5
47658,French Polynesia,1861,25.6
47659,Gabon,1861,30.6
47660,Gambia,1861,28.8
47661,Georgia,1861,31.87
47662,Germany,1861,38.37
47663,Ghana,1861,28.0
47664,Gibraltar,1861,
47665,Greece,1861,36.6
47666,Greenland,1861,33.87
47667,Grenada,1861,37.3
47668,Guadeloupe,1861,27.66
47669,Guam,1861,27.5
47670,Guatemala,1861,25.81
47671,Guernsey,1861,
47672,Guinea,1861,30.13
47673,Guinea-Bissau,1861,32.0
47674,Guyana,1861,31.12
47675,Haiti,1861,29.0
47676,Holy See,1861,
47677,Honduras,1861,33.9
47678,"Hong Kong, China",1861,34.9
47679,Hungary,1861,36.0
47680,Iceland,1861,27.09
47681,India,1861,22.0
47682,Indonesia,1861,30.0
47683,Iran,1861,25.6
47684,Iraq,1861,31.2
47685,Ireland,1861,38.83
47686,Isle of Man,1861,
47687,Israel,1861,32.0
47688,Italy,1861,29.69
47689,Jamaica,1861,34.2
47690,Japan,1861,36.42
47691,Jersey,1861,
47692,Jordan,1861,31.7
47693,Kazakhstan,1861,26.2
47694,Kenya,1861,25.5
47695,Kiribati,1861,24.9
47696,North Korea,1861,26.0
47697,South Korea,1861,25.8
47698,"United Korea (former)
",1861,
47699,Kosovo,1861,
47700,Kuwait,1861,26.0
47701,Kyrgyz Republic,1861,23.94
47702,Lao,1861,31.9
47703,Latvia,1861,33.33
47704,Lebanon,1861,29.7
47705,Lesotho,1861,32.8
47706,Liberia,1861,31.1
47707,Libya,1861,33.1
47708,Liechtenstein,1861,
47709,Lithuania,1861,28.9
47710,Luxembourg,1861,36.9
47711,"Macao, China",1861,34.7
47712,"Macedonia, FYR",1861,36.1
47713,Madagascar,1861,30.5
47714,Malawi,1861,30.3
47715,Malaysia,1861,30.6
47716,Maldives,1861,32.65
47717,Mali,1861,26.41
47718,Malta,1861,28.7
47719,Marshall Islands,1861,
47720,Martinique,1861,30.15
47721,Mauritania,1861,32.0
47722,Mauritius,1861,31.24
47723,Mayotte,1861,32.5
47724,Mexico,1861,26.9
47725,"Micronesia, Fed. Sts.",1861,26.7
47726,Moldova,1861,33.15
47727,Monaco,1861,
47728,Mongolia,1861,31.8
47729,Montenegro,1861,35.4
47730,Montserrat,1861,
47731,Morocco,1861,33.1
47732,Mozambique,1861,30.28
47733,Myanmar,1861,30.8
47734,Namibia,1861,32.4
47735,Nauru,1861,
47736,Nepal,1861,32.8
47737,Netherlands,1861,36.44
47738,Netherlands Antilles,1861,34.41
47739,New Caledonia,1861,26.0
47740,New Zealand,1861,34.05
47741,Ngorno-Karabakh,1861,
47742,Nicaragua,1861,25.4
47743,Niger,1861,30.8
47744,Nigeria,1861,30.4
47745,Niue,1861,
47746,Norfolk Island,1861,
47747,Northern Cyprus,1861,
47748,Northern Mariana Islands,1861,
47749,Norway,1861,45.81
47750,Oman,1861,32.3
47751,Pakistan,1861,25.8
47752,Palau,1861,
47753,Panama,1861,32.9
47754,Papua New Guinea,1861,31.5
47755,Paraguay,1861,35.5
47756,Peru,1861,35.7
47757,Philippines,1861,30.9
47758,Pitcairn,1861,
47759,Poland,1861,35.9
47760,Portugal,1861,35.6
47761,Puerto Rico,1861,30.43
47762,Qatar,1861,30.8
47763,Reunion,1861,33.0
47764,Romania,1861,35.7
47765,Russia,1861,29.57
47766,Rwanda,1861,31.8
47767,St. Barthélemy,1861,
47768,St. Helena,1861,
47769,St. Kitts and Nevis,1861,
47770,St. Lucia,1861,28.01
47771,St. Martin,1861,
47772,St. Vincent and the Grenadines,1861,25.99
47773,St.-Pierre-et-Miquelon,1861,
47774,Samoa,1861,25.4
47775,San Marino,1861,
47776,Sao Tome and Principe,1861,31.0
47777,Saudi Arabia,1861,32.1
47778,Senegal,1861,25.2
47779,Serbia,1861,35.5
47780,Serbia and Montenegro,1861,
47781,Serbia excluding Kosovo,1861,
47782,Seychelles,1861,37.0
47783,Sierra Leone,1861,25.1
47784,Singapore,1861,34.0
47785,Slovak Republic,1861,36.4
47786,Slovenia,1861,36.6
47787,Solomon Islands,1861,25.1
47788,Somalia,1861,29.4
47789,Somaliland,1861,
47790,South Africa,1861,33.5
47791,South Ossetia,1861,
47792,Spain,1861,29.5
47793,Sri Lanka,1861,32.6
47794,Sudan,1861,31.4
47795,Suriname,1861,32.9
47796,Svalbard,1861,
47797,Swaziland,1861,32.3
47798,Sweden,1861,47.12
47799,Switzerland,1861,38.0
47800,Syria,1861,31.1
47801,Taiwan,1861,28.3
47802,Tajikistan,1861,24.24
47803,Tanzania,1861,32.2
47804,Thailand,1861,30.4
47805,Timor-Leste,1861,28.95
47806,Togo,1861,31.3
47807,Tokelau,1861,
47808,Tonga,1861,28.2
47809,Transnistria,1861,
47810,Trinidad and Tobago,1861,38.8
47811,Tunisia,1861,28.8
47812,Turkey,1861,35.0
47813,Turkmenistan,1861,24.0
47814,Turks and Caicos Islands,1861,
47815,Tuvalu,1861,
47816,Uganda,1861,25.3
47817,Ukraine,1861,36.6
47818,United Arab Emirates,1861,30.7
47819,United Kingdom,1861,42.38
47820,United States,1861,38.0
47821,Uruguay,1861,32.9
47822,USSR,1861,
47823,Uzbekistan,1861,26.93
47824,Wallis et Futuna,1861,
47825,Vanuatu,1861,24.3
47826,Venezuela,1861,32.2
47827,West Bank and Gaza,1861,32.1
47828,West Germany,1861,
47829,Western Sahara,1861,34.75
47830,Vietnam,1861,32.0
47831,Virgin Islands (U.S.),1861,33.4
47832,North Yemen (former),1861,
47833,South Yemen (former),1861,
47834,Yemen,1861,23.39
47835,Yugoslavia,1861,
47836,Zambia,1861,32.6
47837,Zimbabwe,1861,33.7
47838,Åland,1861,
47839,South Sudan,1861,26.67
47840,Abkhazia,1861,
47841,Afghanistan,1861,
47842,Akrotiri and Dhekelia,1861,
47843,Albania,1861,
47844,Algeria,1861,
47845,American Samoa,1861,
47846,Andorra,1861,
47847,Angola,1861,
47848,Anguilla,1861,
47849,Antigua and Barbuda,1861,
47850,Argentina,1861,
47851,Armenia,1861,
47852,Aruba,1861,
47853,Australia,1861,
47854,Austria,1861,
47855,Azerbaijan,1861,
47856,Bahamas,1861,
47857,Bahrain,1861,
47858,Bangladesh,1861,
